fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.74,0.7,0,0.19,0.076,0.11,0.034,0.9978,0.351,0.56,0.94,5
0.78,0.88,0,0.26,0.098,0.25,0.067,0.9968,0.32,0.68,0.98,5
0.78,0.76,0.04,0.23,0.092,0.15,0.054,0.997,0.326,0.65,0.98,5
1.12,0.28,0.56,0.19,0.075,0.17,0.06,0.998,0.316,0.58,0.98,6
0.74,0.7,0,0.19,0.076,0.11,0.034,0.9978,0.351,0.56,0.94,5
0.74,0.66,0,0.18,0.075,0.13,0.04,0.9978,0.351,0.56,0.94,5
0.79,0.6,0.06,0.16,0.069,0.15,0.059,0.9964,0.33,0.46,0.94,5
0.73,0.65,0,0.12,0.065,0.15,0.021,0.9946,0.339,0.47,1,7
0.78,0.58,0.02,0.2,0.073,0.09,0.018,0.9968,0.336,0.57,0.95,7
0.75,0.5,0.36,0.61,0.071,0.17,0.102,0.9978,0.335,0.8,1.05,5
0.67,0.58,0.08,0.18,0.097,0.15,0.065,0.9959,0.328,0.54,0.92,5
0.75,0.5,0.36,0.61,0.071,0.17,0.102,0.9978,0.335,0.8,1.05,5
0.56,0.615,0,0.16,0.089,0.16,0.059,0.9943,0.358,0.52,0.99,5
0.78,0.61,0.29,0.16,0.114,0.09,0.029,0.9974,0.326,1.56,0.91,5
0.89,0.62,0.18,0.38,0.176,0.52,0.145,0.9986,0.316,0.88,0.92,5
0.89,0.62,0.19,0.39,0.17,0.51,0.148,0.9986,0.317,0.93,0.92,5
0.85,0.28,0.56,0.18,0.092,0.35,0.103,0.9969,0.33,0.75,1.05,7
0.81,0.56,0.28,0.17,0.368,0.16,0.056,0.9968,0.311,1.28,0.93,5
0.74,0.59,0.08,0.44,0.086,0.06,0.029,0.9974,0.338,0.5,0.9,4
0.79,0.32,0.51,0.18,0.341,0.17,0.056,0.9969,0.304,1.08,0.92,6
0.89,0.22,0.48,0.18,0.077,0.29,0.06,0.9968,0.339,0.53,0.94,6
0.76,0.39,0.31,0.23,0.082,0.23,0.071,0.9982,0.352,0.65,0.97,5
0.79,0.43,0.21,0.16,0.106,0.1,0.037,0.9966,0.317,0.91,0.95,5
0.85,0.49,0.11,0.23,0.084,0.09,0.067,0.9968,0.317,0.53,0.94,5
0.69,0.4,0.14,0.24,0.085,0.21,0.04,0.9968,0.343,0.63,0.97,6
0.63,0.39,0.16,0.14,0.08,0.11,0.023,0.9955,0.334,0.56,0.93,5
